naam,plaats,adres,provincie,bronnen,website,koopaanbod_url,koopaanbod_confidence,koopaanbod_metodo,platform_hint,requires_js,notas
Ligtvoet Makelaardij,Eindhoven,"Boutenslaan 8, EINDHOVEN",Noord-Brabant,nvm,https://www.ligtvoetmakelaardij.nl/,,0.00,none,,False,home no cargó
Werner Sanders Makelaardij,Eindhoven,"Maarten Reuchlinlaan 25, EINDHOVEN",Noord-Brabant,nvm,http://www.wernersandersmakelaardij.nl/,,0.00,none,,False,home no cargó
"Meneer de Makelaar, Huijbregts en Wassink",Eindhoven,"Aalsterweg 78B, EINDHOVEN",Noord-Brabant,nvm,http://www.meneerdemakelaar.nl/,http://www.meneerdemakelaar.nl/aanbod/,0.67,regla,wordpress,False,"prijzen=7, koop=1, huur=0"
Lemon Suites,Eindhoven,"Torenallee 65, EINDHOVEN",Noord-Brabant,nvm,http://www.lemonsuites.nl/,https://www.lemonsuites.nl/woning-huren/,0.30,home-fallback,wordpress,True,mejor candidato sin verificar (score=0.72)
Heijblom Makelaardij,Etten Leur,"Markt 17, ETTEN-LEUR",Noord-Brabant,nvm,http://www.heijblommakelaardij.nl/,http://www.heijblommakelaardij.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=208, koop=4, huur=1"
Van de Kasteele Makelaardij,Etten Leur,"Dorpsstraat 92, ST. WILLEBRORD",Noord-Brabant,nvm,http://www.vandekasteele.com/,https://www.vandekasteele.com/property-type/woningen/,0.75,regla,wordpress,False,"prijzen=116, koop=1, huur=0"
Agnes Tomesen Makelaardij,Etten Leur,"Bredaseweg 53, ETTEN-LEUR",Noord-Brabant,nvm,http://www.tomesenmakelaardij.nl/,https://tomesenmakelaardij.nl/binnenkort-in-de-verkoop/,0.30,home-fallback,realworks,False,mejor candidato sin verificar (score=2.30)
Zegers Makelaardij o.g.,Etten Leur,"Oude Bredaseweg 58, ETTEN-LEUR",Noord-Brabant,nvm,http://www.zegersmakelaardij.nl/,http://www.zegersmakelaardij.nl/aanbod/woningaanbod/,0.94,regla,realworks,False,"prijzen=132, koop=4, huur=2"
Makelaar Miranda,Etten Leur,"Torenpad 6, ETTEN-LEUR",Noord-Brabant,nvm,http://www.makelaarmiranda.nl/,https://makelaarmiranda.nl/huizen,0.75,regla,realworks,False,"prijzen=20, koop=1, huur=0"
Valoris Vastgoedtaxaties+ B.V.,Etten Leur,"Tolhuislaan 113, ETTEN-LEUR",Noord-Brabant,nvm,https://www.valoris-taxaties.nl/,,0.00,none,,False,sin candidatos de koop
Verbrugge Makelaardij b.v.,Geertruidenberg,"Gangboord 11, RAAMSDONKSVEER",Noord-Brabant,nvm,http://www.verbrugge.com/,http://www.verbrugge.com/huizen,0.67,regla,wordpress,False,"prijzen=9, koop=1, huur=0"
ERA Makelaardij Amerstreek,Geertruidenberg,"Prins Bernhardstraat 1, RAAMSDONKSVEER",Noord-Brabant,nvm,http://www.eramakelaardijamerstreek.nl/,http://www.eramakelaardijamerstreek.nl/raamsdonksveer/era-makelaardij-amerstreek/verkoopmakelaar-raamsdonksveer,0.76,regla,,False,"prijzen=6, koop=1, huur=0"
"Biemans Made, Makelaardij o.z. en Hypotheken",Geertruidenberg,"Marktstraat 4A, MADE",Noord-Brabant,nvm,http://www.biemansmade.nl/,http://www.biemansmade.nl/nl/diensten/verkoop,0.76,regla,realworks,False,"prijzen=3, koop=1, huur=0"
Bogaers Makelaardij,Geertruidenberg,"Nieuwstraat 22c, MADE",Noord-Brabant,nvm,http://www.bogaersmakelaardij.nl/,,0.00,none,,False,home no cargó
Noud Kops Woning-en Bedrijfsmakelaardij en Verzekeringen,Geertruidenberg,"Mathildastraat 57, OOSTERHOUT",Noord-Brabant,nvm,http://www.noudkopsmakelaardij.nl/,http://www.noudkopsmakelaardij.nl/aanbod/woningaanbod/oosterhout/koop/huis-10166294-Leeuwenstraat-28/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Trommelen Makelaars en Taxateurs,Geertruidenberg,"Heuvel 10, OOSTERHOUT",Noord-Brabant,nvm,,,0.00,none,,False,
Biemans B.V.,Geertruidenberg,"Heuvel 4, OOSTERHOUT",Noord-Brabant,nvm,http://www.biemansmakelaardij.nl/,,0.00,none,,False,home no cargó
Ideale Makelaar,Geertruidenberg,"Zeislaan 38, OOSTERHOUT",Noord-Brabant,nvm,https://www.idealemakelaar.nl/,https://www.idealemakelaar.nl/aanbod/koopwoningen,0.95,regla,,False,"prijzen=15, koop=2, huur=0"
ERA makelaars Oosterhout,Geertruidenberg,"IJsvogelvlinder 18, OOSTERHOUT",Noord-Brabant,nvm,http://www.eraoosterhout.nl/,http://www.eraoosterhout.nl/makelaar/oosterhout-nb/ijsvogelvlinder/era-makelaars-oosterhout/huizenaanbod,0.30,home-fallback,,False,mejor candidato sin verificar (score=0.72)
Van der Plas & De Vegt Makelaardij B.V.,Geertruidenberg,"Bouwlingstraat 14, OOSTERHOUT",Noord-Brabant,nvm,http://www.vdplas.nl/,http://www.vdplas.nl/aanbod/woningaanbod/oosterhout/koop/huis-10223868-Zwanendonk-2/,0.94,regla,realworks,False,"prijzen=8, koop=4, huur=0"
Marjoleine Rinsma Makelaardij,Geertruidenberg,"Leuvenstraat 1, OOSTERHOUT",Noord-Brabant,nvm,http://www.mrmakelaardij.nl/,http://www.mrmakelaardij.nl/aanbod/woningaanbod/?inclkoop=true&inclhuur=false,0.94,regla,realworks,False,"prijzen=126, koop=4, huur=0"
Klijsen Makelaars & Adviseurs,Geertruidenberg,"Europark 5, OOSTERHOUT",Noord-Brabant,nvm,http://www.klijsen.nl/,https://www.klijsen.nl/agrarisch-grond-te-koop-grond-kopen-in-noord-brabant/,0.30,home-fallback,realworks,False,mejor candidato sin verificar (score=1.94)
Frank Gruintjes Makelaars,Geldrop Mierlo,"Marktstraat 18, MIERLO",Noord-Brabant,nvm,http://www.frankgruintjes.nl/,http://www.frankgruintjes.nl/aanbod/woningaanbod/mierlo/koop/huis-7946295-Vaanakker-61/,0.94,regla,realworks,False,"prijzen=5, koop=4, huur=0"
Kranen Makelaardij,Geldrop Mierlo,"Korte Kerkstraat 27, GELDROP",Noord-Brabant,nvm,http://www.kranenmakelaardij.nl/,http://www.kranenmakelaardij.nl/aanbod,0.67,regla,,False,"prijzen=60, koop=2, huur=0"
KIN Makelaars Regio Eindhoven B.V.,Geldrop Mierlo,"Korte Kerkstraat 6a, GELDROP",Noord-Brabant,nvm,https://www.kinmakelaars.nl/,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,0.87,regla,realworks,False,"prijzen=10, koop=4, huur=3"
Woonadvies Makelaardij o.g.,Geldrop Mierlo,"Margrietstraat 76, MIERLO",Noord-Brabant,nvm,https://www.woonadviesmakelaardij.nl/,https://www.woonadviesmakelaardij.nl/aanbod/woningaanbod/mierlo/koop/huis-9229080-Patrijslaan-4H-47/,0.94,regla,realworks,False,"prijzen=12, koop=4, huur=0"
Van Helvoort Makelaardij o.z. B.V.,Gemert Bakel,"Ridderplein 5, GEMERT",Noord-Brabant,nvm,https://vanhelvoortmakelaardij.nl/,,0.00,none,,False,sin candidatos de koop
B & L Makelaarskantoor O.G. B.V.,Gemert Bakel,"Holterbergweide 5, HELMOND",Noord-Brabant,nvm,http://www.vendomakelaars.nl/,http://www.vendomakelaars.nl/voor-kopers/binnenkort-te-koop,0.30,home-fallback,,False,mejor candidato sin verificar (score=2.78)
Broeckx makelaars,Gemert Bakel,"Elisabethplaats 4, GEMERT",Noord-Brabant,nvm,http://www.woonplezier.nl/,http://www.woonplezier.nl/aanbod/woningaanbod/koop,0.95,regla,realworks,False,"prijzen=208, koop=5, huur=1"
Van Nunen Makelaars,Gemert Bakel,"Van Eupenlaan 2, GEMERT",Noord-Brabant,nvm,https://www.vannunenmakelaars.nl/,https://www.vannunenmakelaars.nl/verkoop/,0.30,home-fallback,realworks,False,mejor candidato sin verificar (score=1.58)
Jouw Aankoopmakelaar & Taxateur,Gilze En Rijen,"Bernhardstraat 32, RIJEN",Noord-Brabant,nvm,https://www.jouwamet.nl/,,0.00,none,wordpress,True,sin candidatos de koop
Appart Makelaars,Gilze En Rijen,"Pastoor Doensstraat 1b, BAVEL",Noord-Brabant,nvm,,,0.00,none,,False,
Makelaar Sander,Gilze En Rijen,"Pastoor Doensstraat 1b, BAVEL",Noord-Brabant,nvm,http://www.makelaarsander.nl/,http://www.makelaarsander.nl/aanbod/woningaanbod/,0.94,regla,realworks,False,"prijzen=208, koop=4, huur=2"
Rentmeester Makelaardij,Goirle,"Meijerij 3, RIEL",Noord-Brabant,nvm,http://www.rentmeestermakelaardij.nl/,http://www.rentmeestermakelaardij.nl/aanbod/woningaanbod/,0.94,regla,realworks,False,"prijzen=132, koop=4, huur=2"
Appels Makelaardij B.V.,Goirle,"Tilburgseweg 88, GOIRLE",Noord-Brabant,nvm,http://www.appels.nl/,https://www.appels.nl/aanbod,0.30,home-fallback,,False,mejor candidato sin verificar (score=0.72)
Clavem Makelaars,Goirle,"Tilburgseweg 1, GOIRLE",Noord-Brabant,nvm,http://www.clavem.eu/,http://www.clavem.eu/aanbod/woningaanbod/hilvarenbeek/koop/huis-9980160-Dr.-P.-C.-de-Brouwerlaan-20/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Van Meer Makelaars B.V.,Halderberge,"Ste Bernaertsstraat 14, OUDENBOSCH",Noord-Brabant,nvm,http://www.vanmeermakelaars.nl/,http://www.vanmeermakelaars.nl/aanbod/woningaanbod/oudenbosch/koop/huis-9883500-Nijverheidsweg-14/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Van de Kasteele Makelaardij,Halderberge,"Dorpsstraat 92, ST. WILLEBRORD",Noord-Brabant,nvm,http://www.vandekasteele.com/,https://www.vandekasteele.com/property-type/woningen/,0.75,regla,wordpress,False,"prijzen=116, koop=1, huur=0"
Sweere Makelaardij B.V.,Halderberge,"Dorpsstraat 17, OUD GASTEL",Noord-Brabant,nvm,https://www.sweere.nl/,https://www.sweere.nl/aanbod/nieuwbouwaanbod/oud-gastel/koop/project-66666--/#Bouwtypes,0.86,regla,realworks,False,"prijzen=18, koop=2, huur=0"
Heijblom Makelaardij b.v.,Halderberge,"St. Janstraat 69, HOEVEN",Noord-Brabant,nvm,https://www.heijblommakelaardij.nl/,http://www.heijblommakelaardij.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=208, koop=4, huur=1"
Wijk-Regio Makelaardij,Halderberge,"Jezuïetenplein 8-10, OUDENBOSCH",Noord-Brabant,nvm,http://www.wijk-regio.nl/,http://www.wijk-regio.nl/aanbod/woningaanbod/oudenbosch/koop/huis-10339742-Jaagpad-1/,0.94,regla,realworks,False,"prijzen=6, koop=5, huur=0"
Snijders & de Werdt Makelaars,Heeze Leende,"D vd Konijnenbergln 24, HEEZE",Noord-Brabant,nvm,http://www.swmakelaars.nl/,,0.00,none,,False,sin candidatos de koop
Kranen Makelaardij,Heeze Leende,"Korte Kerkstraat 27, GELDROP",Noord-Brabant,nvm,http://www.kranenmakelaardij.nl/,http://www.kranenmakelaardij.nl/aanbod,0.67,regla,,False,"prijzen=60, koop=2, huur=0"
Makelaardij OLAV Veldhuizen B.V.,Heeze Leende,"Kapelstraat 11, HEEZE",Noord-Brabant,nvm,http://www.makelaardijolav.nl/,http://www.makelaardijolav.nl/zoek-in-ons-aanbod,0.75,regla,,False,"prijzen=14, koop=1, huur=0"
KIN Makelaars Regio Eindhoven B.V.,Heeze Leende,"Korte Kerkstraat 6a, GELDROP",Noord-Brabant,nvm,https://www.kinmakelaars.nl/,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,0.87,regla,realworks,False,"prijzen=10, koop=4, huur=3"
Harry Moes Makelaardij o.z.,Helmond,"Helmondseweg 12, AARLE-RIXTEL",Noord-Brabant,nvm,http://www.harrymoesmakelaardij.nl/,http://www.harrymoesmakelaardij.nl/aanbod/woningaanbod/schijndel/koop/huis-10245112-Hyacinthof-28/,0.86,regla,realworks,False,"prijzen=192, koop=4, huur=1"
M.G.M. Makelaardij Helmond,Helmond,"Oude Aa 1, HELMOND",Noord-Brabant,nvm,https://www.mgmmakelaardij.nl/,https://www.mgmmakelaardij.nl/aanbod/koop/,0.87,regla,realworks,False,"prijzen=46, koop=2, huur=0"
Broeckx makelaars,Helmond,"Mierloseweg 3, HELMOND",Noord-Brabant,nvm,http://www.woonplezier.nl/,http://www.woonplezier.nl/aanbod/woningaanbod/koop,0.95,regla,realworks,False,"prijzen=208, koop=5, huur=1"
B & L Makelaarskantoor O.G. B.V.,Helmond,"Holterbergweide 5, HELMOND",Noord-Brabant,nvm,http://www.vendomakelaars.nl/,http://www.vendomakelaars.nl/voor-kopers/binnenkort-te-koop,0.30,home-fallback,,False,mejor candidato sin verificar (score=2.78)
Van Tuijl makelaardij,Helmond,"Prinsenweier 19, NUENEN",Noord-Brabant,nvm,https://www.vantuijl-makelaardij.nl/,https://vantuijl-makelaardij.nl/woning-kopen/,0.75,regla,wordpress,False,"prijzen=3, koop=2, huur=0"
van Wetten Makelaardij,Helmond,"Eikendreef 17, HELMOND",Noord-Brabant,nvm,http://www.vanwetten.nl/,http://www.vanwetten.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=212, koop=4, huur=2"
Van Santvoort Makelaars b.v.,Helmond,"Paterslaan 2a, HELMOND",Noord-Brabant,nvm,http://www.vansantvoort.nl/,https://www.vansantvoort.nl/woningen-zoeken/?type=koopwoningen,0.81,regla,wordpress,True,"prijzen=240, sin señales huur"
Makelaar de Vree,Helmond,"Hortsedijk 23, HELMOND",Noord-Brabant,nvm,http://www.makelaardevree.nl/,http://www.makelaardevree.nl/aanbod/woningaanbod/helmond/koop/huis-9713046-Suytboulevard-47/,0.94,regla,realworks,False,"prijzen=7, koop=5, huur=1"
Theo Keijzers Makelaardij,Helmond,"Vossenbeemd 110B, HELMOND",Noord-Brabant,nvm,http://www.theo-keijzers.nl/,http://www.theo-keijzers.nl/aanbod/woningaanbod/helmond/koop/huis-9588260-Hunzestraat-55/,0.94,regla,realworks,False,"prijzen=4, koop=3, huur=0"
Raaijmakers Makelaardij,Helmond,"Steenweg 21R, HELMOND",Noord-Brabant,nvm,http://www.raaijmakersmakelaardij.nl/,https://www.raaijmakersmakelaardij.nl/woningen/,0.67,regla,realworks,False,"prijzen=59, koop=2, huur=0"
Adriaan van den Heuvel makelaars en adviseurs,Helmond,"Hoofdstraat 155, HELMOND",Noord-Brabant,nvm,http://www.heuvel.nl/,https://www.heuvel.nl/woningmakelaardij/aanbod/?_facet_financial_type=koop,0.88,regla,realworks,False,"prijzen=18, koop=1, huur=0"
vb&t Makelaars Helmond,Helmond,"Steenweg 18A, HELMOND",Noord-Brabant,nvm,http://www.vbtmakelaars.nl/,https://www.vbtmakelaars.nl/aanbod-nieuwbouw-koopwoningen,0.88,regla,yes-co,False,"prijzen=14, koop=2, huur=1"
A3 Taxaties,Helmond,"Zuid Koninginnewal 15, HELMOND",Noord-Brabant,nvm,https://www.a3taxaties.nl/,,0.00,none,wordpress,True,sin candidatos de koop
Woonadvies Makelaardij o.g.,Helmond,"Margrietstraat 76, MIERLO",Noord-Brabant,nvm,https://www.woonadviesmakelaardij.nl/,https://www.woonadviesmakelaardij.nl/aanbod/woningaanbod/mierlo/koop/huis-9229080-Patrijslaan-4H-47/,0.94,regla,realworks,False,"prijzen=12, koop=4, huur=0"
Van der Duim makelaardij,Helmond,"Dorpsstraat 30A, HELMOND",Noord-Brabant,nvm,https://www.vanderduimmakelaardij.nl/,https://www.vanderduimmakelaardij.nl/nl/woningaanbod,0.95,regla,realworks,False,"prijzen=49, koop=1, huur=0"
ERA Focus Makelaars Helmond B.V.,Helmond,"Steenovenweg 5, HELMOND",Noord-Brabant,nvm,http://www.erafocus.nl/,,0.00,none,,False,sin candidatos de koop
Frank Gruintjes Makelaars,Helmond,"Marktstraat 18, MIERLO",Noord-Brabant,nvm,http://www.frankgruintjes.nl/,http://www.frankgruintjes.nl/aanbod/woningaanbod/mierlo/koop/huis-7946295-Vaanakker-61/,0.94,regla,realworks,False,"prijzen=5, koop=4, huur=0"
ViaJoop Makelaardij,Heusden,"Anjelierstraat 39, WIJK EN AALBURG",Noord-Brabant,nvm,http://www.viajoop.nl/,http://www.viajoop.nl/woningen/?type=koop,0.79,regla,wordpress,False,"prijzen=142, koop=3, huur=1"
Makelaarshuys AERTS,Heusden,"Kapelstraat 26, ELSHOUT",Noord-Brabant,nvm,https://www.aerts.nl/,https://www.aerts.nl/aanbod/woningaanbod/drunen/koop/huis-8212399-Valeriusstraat-1/,0.94,regla,realworks,False,"prijzen=5, koop=4, huur=0"
Taxanja Taxaties,Heusden,"den Oudert 36, WIJK EN AALBURG",Noord-Brabant,nvm,https://www.taxanja.nl/,,0.00,none,,False,sin candidatos de koop
Staete Makelaars Drunen,Heusden,"Achterstraat 14a, DRUNEN",Noord-Brabant,nvm,http://www.staete.nl/,https://www.staete.nl/aanbod/wonen/tOZUao2/laan-ten-habraken-2-5291-aj/,0.78,regla,,False,"prijzen=6, koop=4, huur=0"
AMB Makelaars Drunen,Heusden,"Grotestraat 208, DRUNEN",Noord-Brabant,nvm,http://www.amb-makelaars.nl/,https://www.amb-makelaars.nl/aanbod,0.67,regla,,False,"prijzen=159, koop=1, huur=0"
Hofstede Land van Heusden,Heusden,"Tuinstraat 18, VEEN",Noord-Brabant,nvm,https://www.hofstedelandvanheusden.nl/,,0.00,none,,False,home no cargó
Tivoli woningmakelaars,Heusden,"Loeffstraat 29, WAALWIJK",Noord-Brabant,nvm,https://www.tivoliwoningmakelaars/,,0.00,none,,False,home no cargó
Mulders Taxaties B.V.,Heusden,"Van Oldenbarneveltstraat 7, DRUNEN",Noord-Brabant,nvm,https://www.mulderstaxaties.nl/,,0.00,none,,False,home no cargó
Van de Zande Makelaardij Waalwijk B.V.,Heusden,"Grotestraat 344, WAALWIJK",Noord-Brabant,nvm,http://www.zande.nl/,http://www.zande.nl/woningaanbod/,0.75,regla,realworks,False,"prijzen=65, koop=3, huur=0"
Staete Makelaars Waalwijk,Heusden,"Grotestraat 365, WAALWIJK",Noord-Brabant,nvm,http://www.staete.nl/,https://www.staete.nl/aanbod/wonen/tOZUao2/laan-ten-habraken-2-5291-aj/,0.78,regla,,False,"prijzen=6, koop=4, huur=0"
Remco Olden Lommers Makelaars,Heusden,"Hertog Janstraat 1e, WAALWIJK",Noord-Brabant,nvm,http://www.olden.nl/,http://www.olden.nl/aanbod/woningaanbod/,0.94,regla,realworks,False,"prijzen=132, koop=4, huur=2"
KIN Makelaars Waalwijk B.V.,Heusden,"Grotestraat 299, WAALWIJK",Noord-Brabant,nvm,https://www.kinmakelaars.nl/,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,0.87,regla,realworks,False,"prijzen=10, koop=4, huur=3"
AMB Makelaars Waalwijk,Heusden,"Marijkestraat 9, WAALWIJK",Noord-Brabant,nvm,http://www.amb-makelaars.nl/,https://www.amb-makelaars.nl/aanbod,0.67,regla,,False,"prijzen=159, koop=1, huur=0"
Staete Makelaars Vlijmen,Heusden,"Plein 7A, VLIJMEN",Noord-Brabant,nvm,http://www.staete.nl/,https://www.staete.nl/aanbod/wonen/tOZUao2/laan-ten-habraken-2-5291-aj/,0.78,regla,,False,"prijzen=6, koop=4, huur=0"
Carre de Wit makelaardij,Heusden,"Mr. van Coothstraat 1, WAALWIJK",Noord-Brabant,nvm,https://www.carredewit.nl/,https://www.carredewit.nl/woningaanbod/,0.75,regla,realworks,False,"prijzen=61, koop=3, huur=1"
Timmermans Makelaardij,Heusden,"Stationsstraat 74, WAALWIJK",Noord-Brabant,nvm,http://www.timmermansmakelaardij.nl/,http://www.timmermansmakelaardij.nl/aanbod/woningaanbod/loon-op-zand/koop/huis-9926496-Sjerpstraat-1/,0.94,regla,realworks,False,"prijzen=5, koop=4, huur=0"
Bunt Taxaties en Vastgoedadvies B.V.,Heusden,"Keppelenkamp 17, GAMEREN",Noord-Brabant,nvm,http://www.buntvastgoed.nl/,,0.00,none,wordpress,True,sin candidatos de koop
Kievit Makelaardij,Heusden,"Baronieweg 6E, HEDEL",Noord-Brabant,nvm,http://www.kievitmakelaardij.com/,https://www.kievitmakelaardij.com/stille-verkoop,0.30,home-fallback,,False,mejor candidato sin verificar (score=1.58)
DUX Real Estate B.V.,Heusden,"Rietveldenweg 84, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,https://www.duxrealestate.nl/,https://duxrealestate.nl/aanbod/s-hertogenbosch/graaf-van-solmsweg-99-e-30/,0.86,regla,wordpress,False,"prijzen=7, koop=2, huur=1"
Oomen Makelaardij & Taxaties,Heusden,"Burgemeester Posweg 80, BRAKEL",Noord-Brabant,nvm,http://www.oomenmakelaardij.nl/,https://www.oomenmakelaardij.nl/wonen/,0.75,regla,,False,"prijzen=146, koop=3, huur=0"
Clavem Makelaars,Hilvarenbeek,"Tilburgseweg 1, GOIRLE",Noord-Brabant,nvm,http://www.clavem.eu/,http://www.clavem.eu/aanbod/woningaanbod/hilvarenbeek/koop/huis-9980160-Dr.-P.-C.-de-Brouwerlaan-20/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
M&S powered bij HRS,Hilvarenbeek,"Saal van Zwanenbergweg 1, TILBURG",Noord-Brabant,nvm,http://www.hrs.nl/,https://hrs.nl/wonen/binnenkort-in-de-verkoop,0.76,regla,,True,"prijzen=82, sin señales huur"
Appels Makelaardij B.V.,Hilvarenbeek,"Tilburgseweg 88, GOIRLE",Noord-Brabant,nvm,http://www.appels.nl/,https://www.appels.nl/aanbod,0.30,home-fallback,,False,mejor candidato sin verificar (score=0.72)
Robert Rexwinkel Lommers Makelaars,Hilvarenbeek,"Diessenseweg 7, HILVARENBEEK",Noord-Brabant,nvm,https://www.robertrexwinkel.nl/,https://www.robertrexwinkel.nl/verkoop,0.30,home-fallback,,True,mejor candidato sin verificar (score=1.58)
Van den Hurk Makelaars,Laarbeek,"Heuvelplein 55A, BEEK EN DONK",Noord-Brabant,nvm,http://www.vandenhurkmakelaars.nl/,http://www.vandenhurkmakelaars.nl/aanbod/woningaanbod/beek-en-donk/koop/huis-9330646-Hugo-Thijssensplein-1/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Van Helvoort Makelaardij o.z. B.V.,Laarbeek,"Ridderplein 5, GEMERT",Noord-Brabant,nvm,https://vanhelvoortmakelaardij.nl/,,0.00,none,,False,sin candidatos de koop
Trieling & Jacobs woning- en bedrijfsmakelaars,Laarbeek,"Heuvelplein 28, BEEK EN DONK",Noord-Brabant,nvm,http://www.trielingjacobs.nl/,http://www.trielingjacobs.nl/aanbod/woningaanbod/helmond/koop/huis-10205650-Malaxisbeek-8/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Statig Wonen makelaars,Laarbeek,"Heuvelplein 28, BEEK EN DONK",Noord-Brabant,nvm,http://www.statigwonen.nl/,https://www.statigwonen.nl/stille-verkoop/,0.76,regla,wordpress,False,"prijzen=19, koop=1, huur=0"
Harry Moes Makelaardij o.z.,Laarbeek,"Helmondseweg 12, AARLE-RIXTEL",Noord-Brabant,nvm,http://www.harrymoesmakelaardij.nl/,http://www.harrymoesmakelaardij.nl/aanbod/woningaanbod/schijndel/koop/huis-10245112-Hyacinthof-28/,0.86,regla,realworks,False,"prijzen=192, koop=4, huur=1"
Broeckx makelaars,Laarbeek,"Elisabethplaats 4, GEMERT",Noord-Brabant,nvm,http://www.woonplezier.nl/,http://www.woonplezier.nl/aanbod/woningaanbod/koop,0.95,regla,realworks,False,"prijzen=208, koop=5, huur=1"
Makelaardij Twan Poels,Land Van Cuijk,"Stationsplein 86/88, CUIJK",Noord-Brabant,nvm,http://www.twanpoels.nl/,https://www.twanpoels.nl/nieuwbouw/,0.76,regla,wordpress,False,"prijzen=340, koop=3, huur=0"
Hans Janssen Makelaars B.V.,Land Van Cuijk,"Rogstraat 6, GRAVE",Noord-Brabant,nvm,http://www.hansjanssen.nl/,https://www.hansjanssen.nl/makelaars/verkoop/,0.76,regla,realworks,False,"prijzen=710, koop=3, huur=1"
EEF Makelaars,Land Van Cuijk,"Burg Verkuijlstraat 55, BOXMEER",Noord-Brabant,nvm,http://www.eefmakelaars.nl/,http://www.eefmakelaars.nl/woningen/,0.67,regla,realworks,False,"prijzen=31, koop=1, huur=0"
Hansdemakelaar,Land Van Cuijk,"Brugstraat 27, GENNEP",Noord-Brabant,nvm,,,0.00,none,,False,
Hermens Vastgoed Advisering,Land Van Cuijk,"Hoogeweg 1, SAMBEEK",Noord-Brabant,nvm,http://www.hermensvastgoed.nl/,,0.00,none,,False,sin candidatos de koop
Smedema Makelaars & Taxateurs,Land Van Cuijk,"Europaplein 6, GENNEP",Noord-Brabant,nvm,http://www.smedema.nl/,http://www.smedema.nl/aanbod/woningaanbod/bergen-l/koop/huis-10073414-Aijen-8/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Beaufort & Kwakkernaat ERA Makelaars,Land Van Cuijk,"Hoeveveld 21, MOLENHOEK",Noord-Brabant,nvm,,,0.00,none,,False,
Makelaardij Martijn Willems,Land Van Cuijk,"Maasburg 13, CUIJK",Noord-Brabant,nvm,http://www.makelaarmartijnwillems.nl/,,0.00,none,,False,sin candidatos de koop
MVS makelaardij Boxmeer,Land Van Cuijk,"Steenstraat 117, BOXMEER",Noord-Brabant,nvm,http://www.mvsmakelaardij.nl/,https://www.mvsmakelaardij.nl/wonen/,0.67,regla,realworks,False,"prijzen=80, koop=2, huur=0"
De Wissel Beheer B.V.,Land Van Cuijk,"Heumenhofseweg 3, HEUMEN",Noord-Brabant,nvm,,,0.00,none,,False,
Vrijdag & De Bekker makelaardij en hypotheekwinkel,Land Van Cuijk,"d'n Entrepot 2c, BOXMEER",Noord-Brabant,nvm,http://www.vrijdag-debekker.nl/,http://www.vrijdag-debekker.nl/aanbod/woningaanbod/boxmeer/koop/huis-10226692-Adriaen-Brouwerstraat-15/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Kolmeijer Land van Cuijk,Land Van Cuijk,"Louis Jansenplein 13, CUIJK",Noord-Brabant,nvm,https://kolmeijercuijk.nl/,,0.00,none,,False,home no cargó
VIND Makelaardij B.V.,Land Van Cuijk,"Irenestraat 12Unit 3, OVERLOON",Noord-Brabant,nvm,https://www.vindmakelaardij.nl/,https://www.vindmakelaardij.nl/aanbod/vrijstaande-woning-ringoven-28-overloon/,0.86,regla,wordpress,False,"prijzen=2, koop=3, huur=1"
Leenaers Makelaardij,Land Van Cuijk,"Haver 40, MALDEN",Noord-Brabant,nvm,http://www.leenaersmakelaardij.nl/,https://www.leenaersmakelaardij.nl/aanbod/,0.67,regla,wordpress,False,"prijzen=10, koop=2, huur=0"
Elly Wintjes Makelaardij,Land Van Cuijk,"De Quayweg 45, LANDHORST",Noord-Brabant,nvm,http://www.wintjesmakelaardij.nl/,http://www.wintjesmakelaardij.nl/aanbod/,0.67,regla,,False,"prijzen=61, koop=2, huur=1"
Jilisen Makelaardij B.V.,Land Van Cuijk,"Gildelandt 28, MAASHEES",Noord-Brabant,nvm,http://www.jilisenmakelaardij.nl/,http://www.jilisenmakelaardij.nl/aanbod/woningaanbod/,0.75,regla,realworks,False,"prijzen=196, koop=4, huur=2"
Van der Loo Makelaardij o.z.,Landerd,"Hoogzoggel 1, UDEN",Noord-Brabant,nvm,http://www.vanderloomakelaardij.nl/,http://www.vanderloomakelaardij.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=122, koop=4, huur=0"
