office_name,website,root_domain,raw_place,normalized_place,gemeente,plaats,place_status,place_review_reason,provincie,aanbod_url,aanbod_url_quality,aanbod_detection_method,aanbod_detection_score,aanbod_validation_reason,confidence,needs_review,source_adapter,source_origin,score,status,review_reason,rejection_reason,notes,osm_type,osm_id,osm_website,osm_contact_website,osm_city,osm_postcode,osm_phone,osm_contact_phone,osm_email,osm_contact_email,osm_lat,osm_lon,evidence
Online Bedrijfsmakelaar,http://www.onlinebedrijfsmakelaar.nl,onlinebedrijfsmakelaar.nl,Eersel,Eersel,Eersel,Eersel,current_gemeente,,Noord-Brabant,https://onlinebedrijfsmakelaar.nl/aanbod,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,aanbod | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Van Santvoort Makelaars b.v.,http://www.vansantvoort.nl,vansantvoort.nl,Eersel,Eersel,Eersel,Eersel,current_gemeente,,Noord-Brabant,https://www.vansantvoort.nl/woningen-zoeken?type=koopwoningen,valid,existing_seed_url,75,url contains listing signal 'woningen',0.85,false,seed,seed,90,valid,url contains listing signal 'woningen',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,woningen,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'woningen' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
W. Heeren Makelaardij B.V.,http://www.wheeren.nl,wheeren.nl,Eersel,Eersel,Eersel,Eersel,current_gemeente,,Noord-Brabant,http://www.wheeren.nl/aanbod/woningaanbod/hapert/koop/huis-9284102-Beerzedal-21,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Broekx Makelaardij & Hypotheken,http://www.broekx.nl,broekx.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,https://www.broekx.nl/woningaanbod/verkocht?_objecten_beschikbaarheid=verkocht,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Cushman & Wakefield Eindhoven,https://www.cushmanwakefield.nl,cushmanwakefield.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.65,true,seed,seed,30,missing,missing koopaanbod_url; missing aanbod_url,,,,,,,,,,,,,,,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0 | suggested_aanbod_paths=https://www.cushmanwakefield.nl/aanbod,https://www.cushmanwakefield.nl/woningaanbod,https://www.cushmanwakefield.nl/koopwoningen"
ERA Focus Makelaars Eindhoven B.V.,http://www.erafocus.nl,erafocus.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.65,true,seed,seed,50,suspect,missing koopaanbod_url; missing aanbod_url,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,era | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0 | suggested_aanbod_paths=http://www.erafocus.nl/aanbod,http://www.erafocus.nl/woningaanbod,http://www.erafocus.nl/koopwoningen"
Hendriks Makelaardij Eindhoven,http://www.hendriks.nl,hendriks.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,https://hendriks.nl/woningaanbod/koop/rijsbergsebaan-13-4836-mc-breda,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,100,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Hendrix Huybregts Makelaars,http://www.hendrixhuybregts.nl,hendrixhuybregts.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,https://hendrixhuybregts.nl/woningen/koop,valid,existing_seed_url,75,url contains listing signal 'koop',0.85,false,seed,seed,90,valid,url contains listing signal 'koop',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,woningen,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'koop' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Hoogveldt Makelaardij,https://hoogveldtmakelaardij.nl,hoogveldtmakelaardij.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.65,true,seed,seed,40,suspect,missing koopaanbod_url; missing aanbod_url,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0 | suggested_aanbod_paths=https://hoogveldtmakelaardij.nl/aanbod,https://hoogveldtmakelaardij.nl/woningaanbod,https://hoogveldtmakelaardij.nl/koopwoningen"
Investimuswoningmakelaars,http://www.investimuswoningmakelaars.nl,investimuswoningmakelaars.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,https://investimuswoningmakelaars.nl/dienstverlening-verkoop,valid,existing_seed_url,75,url contains listing signal 'koop',0.85,false,seed,seed,90,valid,url contains listing signal 'koop',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'koop' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Janssen Steijlen,http://www.janssensteijlen.nl,janssensteijlen.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,http://www.janssensteijlen.nl/bedrijfsaanbod,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,70,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,website_exists=true | makelaar_signals=aanbod | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75
JLL Eindhoven,http://www.jll.nl,jll.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.65,true,seed,seed,30,missing,missing koopaanbod_url; missing aanbod_url,,,,,,,,,,,,,,,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0 | suggested_aanbod_paths=http://www.jll.nl/aanbod,http://www.jll.nl/woningaanbod,http://www.jll.nl/koopwoningen"
Lemon Suites,http://www.lemonsuites.nl,lemonsuites.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,https://www.lemonsuites.nl/woning-huren,suspect,existing_seed_url,30,missing listing signal,0.65,true,seed,seed,20,missing,suspect koopaanbod_url: missing listing signal; missing listing signal,,,,,,,,,,,,,,,website_exists=true | aanbod_url_status=suspect | aanbod_url_reason=missing listing signal | aanbod_detection_method=existing_seed_url | aanbod_detection_score=30
Ligtvoet Makelaardij,https://www.ligtvoetmakelaardij.nl,ligtvoetmakelaardij.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.65,true,seed,seed,40,suspect,missing koopaanbod_url; missing aanbod_url,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0 | suggested_aanbod_paths=https://www.ligtvoetmakelaardij.nl/aanbod,https://www.ligtvoetmakelaardij.nl/woningaanbod,https://www.ligtvoetmakelaardij.nl/koopwoningen"
Makelaarskantoor Brabant B.V.,http://www.brabantbv.nl,brabantbv.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,http://www.brabantbv.nl/aanbod/woningaanbod/eindhoven/koop/huis-10044888-Aardbeistraat-9,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,100,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
"Meneer de Makelaar, Huijbregts en Wassink",http://www.meneerdemakelaar.nl,meneerdemakelaar.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,http://www.meneerdemakelaar.nl/aanbod,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,aanbod | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
MVGM Vastgoedtaxaties,https://www.mvgmvastgoedtaxaties.nl,mvgmvastgoedtaxaties.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.65,true,seed,seed,0,missing,missing koopaanbod_url; missing aanbod_url,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=vastgoed | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0 | suggested_aanbod_paths=https://www.mvgmvastgoedtaxaties.nl/aanbod,https://www.mvgmvastgoedtaxaties.nl/woningaanbod,https://www.mvgmvastgoedtaxaties.nl/koopwoningen"
PAR-3 Makelaars,http://www.par3makelaars.nl,par3makelaars.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,https://par3makelaars.nl/aanbod,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,aanbod | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Pradium Vastgoed,https://www.pradium.nl,pradium.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,https://pradium.nl/aanbod,suspect,browser_audit,100,property_detail,0.65,true,seed,seed,70,valid,missing koopaanbod_url; property_detail,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=vastgoed,aanbod | aanbod_url_status=suspect | aanbod_url_reason=property_detail | aanbod_detection_method=browser_audit | aanbod_detection_score=100"
Van de Schans Makelaardij,http://www.vandeschans.nl,vandeschans.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,http://www.vandeschans.nl/aanbod/woningaanbod/koop,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
vb&t Makelaars Eindhoven,https://www.vbtmakelaars.nl,vbtmakelaars.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,https://www.vbtmakelaars.nl/aanbod-nieuwbouw-koopwoningen,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,100,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,woningen,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
VMG Regio Eindhoven B.V.,http://www.vmg-makelaars.nl,vmg-makelaars.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,http://www.vmg-makelaars.nl/aanbod,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,100,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,aanbod | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Werner Sanders Makelaardij,http://www.wernersandersmakelaardij.nl,wernersandersmakelaardij.nl,Eindhoven,Eindhoven,Eindhoven,Eindhoven,current_gemeente,,Noord-Brabant,https://www.wernersandersmakelaardij.nl/aanbod/woningaanbod,valid,browser_audit,100,residential_listing_index,0.65,false,seed,seed,90,valid,missing koopaanbod_url; residential_listing_index,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=valid | aanbod_url_reason=residential_listing_index | aanbod_detection_method=browser_audit | aanbod_detection_score=100"
Agnes Tomesen Makelaardij,http://www.tomesenmakelaardij.nl,tomesenmakelaardij.nl,Etten Leur,Etten-Leur,Etten-Leur,Etten Leur,alias,,Noord-Brabant,https://tomesenmakelaardij.nl/binnenkort-in-de-verkoop,valid,existing_seed_url,75,url contains listing signal 'koop',0.85,false,seed,seed,90,valid,url contains listing signal 'koop',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'koop' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Heijblom Makelaardij,http://www.heijblommakelaardij.nl,heijblommakelaardij.nl,Etten Leur,Etten-Leur,Etten-Leur,Etten Leur,alias,,Noord-Brabant,http://www.heijblommakelaardij.nl/aanbod/woningaanbod/koop,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Makelaar Miranda,http://www.makelaarmiranda.nl,makelaarmiranda.nl,Etten Leur,Etten-Leur,Etten-Leur,Etten Leur,alias,,Noord-Brabant,https://makelaarmiranda.nl/huizen,valid,existing_seed_url,75,url contains listing signal 'huizen',0.85,false,seed,seed,90,valid,url contains listing signal 'huizen',,,,,,,,,,,,,,,website_exists=true | makelaar_signals=makelaar | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'huizen' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75
Valoris Vastgoedtaxaties+ B.V.,https://www.valoris-taxaties.nl,valoris-taxaties.nl,Etten Leur,Etten-Leur,Etten-Leur,Etten Leur,alias,,Noord-Brabant,,missing,browser_audit,0,no_candidate_found,0.65,true,seed,seed,0,missing,missing koopaanbod_url; no_candidate_found,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=vastgoed | aanbod_url_status=missing | aanbod_url_reason=no_candidate_found | aanbod_detection_method=browser_audit | aanbod_detection_score=0 | suggested_aanbod_paths=https://www.valoris-taxaties.nl/aanbod,https://www.valoris-taxaties.nl/woningaanbod,https://www.valoris-taxaties.nl/koopwoningen"
Van de Kasteele Makelaardij,http://www.vandekasteele.com,vandekasteele.com,Etten Leur,Etten-Leur,Etten-Leur,Etten Leur,alias,,Noord-Brabant,https://www.vandekasteele.com/property-type/woningen,valid,existing_seed_url,75,url contains listing signal 'woningen',0.85,false,seed,seed,90,valid,url contains listing signal 'woningen',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,woningen | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'woningen' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Zegers Makelaardij o.g.,http://www.zegersmakelaardij.nl,zegersmakelaardij.nl,Etten Leur,Etten-Leur,Etten-Leur,Etten Leur,alias,,Noord-Brabant,http://www.zegersmakelaardij.nl/aanbod/woningaanbod,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Biemans B.V.,http://www.biemansmakelaardij.nl,biemansmakelaardij.nl,Geertruidenberg,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,,Noord-Brabant,https://www.biemansmakelaardij.nl/makelaardij/qualis/qualis-woningaanbod-via-biemans,valid,browser_audit,100,residential_listing_index,0.65,false,seed,seed,90,valid,missing koopaanbod_url; residential_listing_index,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=valid | aanbod_url_reason=residential_listing_index | aanbod_detection_method=browser_audit | aanbod_detection_score=100"
"Biemans Made, Makelaardij o.z. en Hypotheken",http://www.biemansmade.nl,biemansmade.nl,Geertruidenberg,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,,Noord-Brabant,https://www.biemansmade.nl/nl/woningaanbod,suspect,browser_audit,100,project_page,0.65,true,seed,seed,90,valid,suspect koopaanbod_url: contains excluded token 'diensten'; project_page,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=suspect | aanbod_url_reason=project_page | aanbod_detection_method=browser_audit | aanbod_detection_score=100"
Bogaers Makelaardij,http://www.bogaersmakelaardij.nl,bogaersmakelaardij.nl,Geertruidenberg,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,,Noord-Brabant,https://bogaersmakelaardij.nl/woningaanbod,suspect,browser_audit,100,project_page,0.65,true,seed,seed,90,valid,missing koopaanbod_url; project_page,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=suspect | aanbod_url_reason=project_page | aanbod_detection_method=browser_audit | aanbod_detection_score=100"
ERA Makelaardij Amerstreek,http://www.eramakelaardijamerstreek.nl,eramakelaardijamerstreek.nl,Geertruidenberg,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,,Noord-Brabant,https://www.era.nl/raamsdonksveer/era-makelaardij-amerstreek,suspect,browser_audit,84,unknown_residential_shape,0.65,true,seed,seed,40,suspect,suspect koopaanbod_url: contains excluded token 'verkoopmakelaar'; unknown_residential_shape,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,era | aanbod_url_status=suspect | aanbod_url_reason=unknown_residential_shape | aanbod_detection_method=browser_audit | aanbod_detection_score=84"
ERA makelaars Oosterhout,http://www.eraoosterhout.nl,eraoosterhout.nl,Geertruidenberg,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,,Noord-Brabant,http://www.eraoosterhout.nl/makelaar/oosterhout-nb/ijsvogelvlinder/era-makelaars-oosterhout/huizenaanbod,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,aanbod,era | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Ideale Makelaar,https://www.idealemakelaar.nl,idealemakelaar.nl,Geertruidenberg,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,,Noord-Brabant,https://www.idealemakelaar.nl/aanbod/koopwoningen,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,woningen,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Klijsen Makelaars & Adviseurs,http://www.klijsen.nl,klijsen.nl,Geertruidenberg,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,,Noord-Brabant,https://www.klijsen.nl/agrarisch-grond-te-koop-grond-kopen-in-noord-brabant,valid,existing_seed_url,75,url contains listing signal 'koop',0.85,false,seed,seed,100,valid,url contains listing signal 'koop',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'koop' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Marjoleine Rinsma Makelaardij,http://www.mrmakelaardij.nl,mrmakelaardij.nl,Geertruidenberg,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,,Noord-Brabant,http://www.mrmakelaardij.nl/aanbod/woningaanbod?inclkoop=true&inclhuur=false,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Noud Kops Woning-en Bedrijfsmakelaardij en Verzekeringen,http://www.noudkopsmakelaardij.nl,noudkopsmakelaardij.nl,Geertruidenberg,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,,Noord-Brabant,http://www.noudkopsmakelaardij.nl/aanbod/woningaanbod/oosterhout/koop/huis-10166294-Leeuwenstraat-28,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Trommelen Makelaars en Taxateurs,,,Geertruidenberg,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0
Van der Plas & De Vegt Makelaardij B.V.,http://www.vdplas.nl,vdplas.nl,Geertruidenberg,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,,Noord-Brabant,http://www.vdplas.nl/aanbod/woningaanbod/oosterhout/koop/huis-10223868-Zwanendonk-2,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Verbrugge Makelaardij b.v.,http://www.verbrugge.com,verbrugge.com,Geertruidenberg,Geertruidenberg,Geertruidenberg,Geertruidenberg,current_gemeente,,Noord-Brabant,http://www.verbrugge.com/huizen,valid,existing_seed_url,75,url contains listing signal 'huizen',0.85,false,seed,seed,90,valid,url contains listing signal 'huizen',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'huizen' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Frank Gruintjes Makelaars,http://www.frankgruintjes.nl,frankgruintjes.nl,Geldrop Mierlo,Geldrop-Mierlo,Geldrop-Mierlo,Geldrop Mierlo,alias,,Noord-Brabant,http://www.frankgruintjes.nl/aanbod/woningaanbod/mierlo/koop/huis-7946295-Vaanakker-61,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
KIN Makelaars Regio Eindhoven B.V.,https://www.kinmakelaars.nl,kinmakelaars.nl,Geldrop Mierlo,Geldrop-Mierlo,Geldrop-Mierlo,Geldrop Mierlo,alias,,Noord-Brabant,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,wonen,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Kranen Makelaardij,http://www.kranenmakelaardij.nl,kranenmakelaardij.nl,Geldrop Mierlo,Geldrop-Mierlo,Geldrop-Mierlo,Geldrop Mierlo,alias,,Noord-Brabant,http://www.kranenmakelaardij.nl/aanbod,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Woonadvies Makelaardij o.g.,https://www.woonadviesmakelaardij.nl,woonadviesmakelaardij.nl,Geldrop Mierlo,Geldrop-Mierlo,Geldrop-Mierlo,Geldrop Mierlo,alias,,Noord-Brabant,https://www.woonadviesmakelaardij.nl/aanbod/woningaanbod/mierlo/koop/huis-9229080-Patrijslaan-4H-47,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
B & L Makelaarskantoor O.G. B.V.,http://www.vendomakelaars.nl,vendomakelaars.nl,Gemert Bakel,Gemert-Bakel,Gemert-Bakel,Gemert Bakel,alias,,Noord-Brabant,http://www.vendomakelaars.nl/voor-kopers/binnenkort-te-koop,valid,existing_seed_url,75,url contains listing signal 'koop',0.85,false,seed,seed,90,valid,url contains listing signal 'koop',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'koop' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Broeckx makelaars,http://www.woonplezier.nl,woonplezier.nl,Gemert Bakel,Gemert-Bakel,Gemert-Bakel,Gemert Bakel,alias,,Noord-Brabant,http://www.woonplezier.nl/aanbod/woningaanbod/koop,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
